id,Tiêu đề,Giá,Khoảng giá min,Khoảng giá max,Địa chỉ,Mô tả chi tiết,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Trọng lượng,Href
3797,Bán SH150 VN ABS đời 2022 odo 17k3 BS GV giá 85tr,85.000.000 đ,74.3 tr,87.23 tr,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh","- Xe đời 2022 odo 17.300 km, thắng ABS, biển số gò vấp. Xe đang Uỷ quyền 1 lần. Công chứng ngay
- Hiện trạng xe mới leng keng, máy móc nguyên rin
- Xe đang ở ninh thuận 
- Giá mong muốn 85tr AE thiện trí liên hệ mình",Honda,SH,2022,173000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123770120.htm
3798,Bán Xe,82.000.000 đ,111.75 tr,131.19 tr,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","Xe SH 125c mẫu ý sx 2011 so may 5008 xe ít đi ai cần mình bán bán giá 81,5tr",Honda,SH,2011,16000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123736466.htm
3799,honda vario 2017 150 mẫu cũ,60.000.000 đ,51.28 tr,60.19 tr,"Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh","Chính chủ càn bán, xe nguyên zin , đang sử dụng, anh chị quan tâm liên hệ qua nhà xem xe",Honda,Vario,2017,33000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123679456.htm
3800,Wave rsx110( sang tên dc),10.300.000 đ,6.99 tr,8.21 tr,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh","Em cần bán xe nhà đang sử dụng
Giấy tờ sang tên hợp lệ
Biển số gò vấp
Máy móc êm ít sữa chữa
Ốc táng,nước sơn còn mới theo xe,năm tháng
Coi xe trực tiếp ngay nhà,2 bên yên tâm",Honda,Wave,2012,360000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123696446.htm
3801,Vario 150,48.000.000 đ,47.19 tr,55.39 tr,"Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",Xe nhà đang sử dụng đang đứng ủy quyền lần đầu xe đi kỹ đẹp dàn áo dàn chân mới sơn đẹp leng keng . Máy có rớt làm zin êm chạy bao mạnh. Ae nào quan tâm alo trực tiếp giá không thương lượng ae cò lái tha em,Honda,Vario,2016,49000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/121962255.htm
3802,"🔥HONDA BLADE BS59 đẹp, mới zin, ngon, ngay chủ👍",11.800.000 đ,13.47 tr,15.82 tr,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","Xe nhà chạy mua mới tại hãng, có sao nói vậy, xe sao bán vậy.
Còn đầy đủ 2 kiếng zin, 2 chìa khóa, sách hướng dẫn. Xe còn rất mới như hình, máy móc êm ngon lành, ốc tán còn zin nguyên, chưa chạm, chưa mở...đèn, điện, kèn hoạt động tốt, vỏ lốp còn mới.
👌Chính chủ công chứng nhanh gọn lẹ. Anh em nào cần xe đi cày, mua về là chạy không cần phải sửa gì hết, bao công chứng.",Honda,Blade,2022,36400,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123755876.htm
3803,Xe AB 125,38.000.000 đ,15.18 tr,17.82 tr,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","Xe AB 2023 125, xe đi ít dưới 9000km
Biển HCM, còn 1 remot
Ai quan tâm nhắn qua chợ tốt, k gọi điện",Honda,Blade,2023,8800,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123591083.htm
3804,VESPA SPRINT 125ABS,65.000.000 đ,45.34 tr,53.22 tr,"Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh","Do em mình đi du học nên mình còn dư 1 xe tay ga PIAGGO VESPA SPRINT 125ABS xe đăng ký năm 2022 xe ít đi chỉ mới 1086km, xe bảo dưỡng hãng định kỳ
Xe còn mới leng keng, zin chính hãng
Xe biển số thành phố đăng ký tại Gò vấp
Bạn nào có nhu cầu xem xe liên hệ mình nhé
Cám ơn chợ tốt đã đăng tin",Piaggio,Vespa,2022,1086,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123671498.htm
3805,Sh 150i 2018 biển VIP 82.86.82,68.500.000 đ,57.96 tr,68.03 tr,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","Cần bán lại chiếc sh 150i 2018 như hình, xe mang biển số siêu đẹp hợp cho ace làm ăn, giấy tờ xe chính chủ, xe đẹp leng keng, ae nào ưng ý liên hệ em 
Địa chỉ: 448/52D Phan Huy Ích - P12 -GV",Honda,SH,2018,13542,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123435056.htm
3806,Đổi xe điện bán MioM3 đời2022 chínhchủ xe rin 100%,22.500.000 đ,19.53 tr,22.92 tr,"Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh","Do mình mới vừa đổi xe điện nên dư chiếc Yamaha Mio M3 125cc Date 2022 nhập khẩu Indonesia, biển Tp Chính Chủ công chứng ủy quyền sang tên. Xe mình cam đoan máy móc nguyên rin từ nhà sản xuất. Xe mình còn rất mới và giữ gìn bảo dưỡng rất kĩ chất xe k khác gì chiếc xe mới. Xe chủ yếu đi vòng vòng dạo phố đưa đón con cái đi học nên còn rất chất lượng. Máy cực kỳ êm mượt và khỏe chạy sướng cực kỳ . Xe trang bị động cơ Fi và Eco nên rất tiết kiệm xăng. Ai có nhu cầu mua xe mới tham khảo xe mình vừa tiết kiệm chi phí rất nhiều vừa xe còn rất chất lượng như mới. Ai cần gọi mình luôn nha. Xin cảm ơn",Yamaha,Mio,2022,13458,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123332842.htm
3807,dư dùng cần bán,17.500.000 đ,17.08 tr,20.05 tr,"Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",máy móc êm ngoại hình như ảnh xem xe gò vấp tphcm lh ***,Honda,Winner X,2020,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123563152.htm
3808,ex 135,11.700.000 đ,15.17 tr,17.81 tr,"Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","Đầy đủ chứ năng. giấy tờ không chính chủ, viết giấy bao tranh chấp. bs 76
Có vô lòng 150, vặn nhẹ xe
Chân cẳng sạch sẽ
Dàn ngoài có trầy, vỏ xe mòn, gấp hơi kêu. 
Xe còn giảm",Yamaha,Exciter,2015,50000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123792458.htm
3809,BÁN XE ATILA ĐĨA BAY,3.750.000 đ,3.4 tr,3.99 tr,"Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","máy móc bao êm , siêu tiết kiệm xăng , full chức năng , giấy tờ đầy đủ , bán nhanh trong ngày",SYM,Attila,2011,60000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123795825.htm
3810,Xe gia đình bán,8.000.000 đ,8.66 tr,10.17 tr,"Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh","Máy móc ngon lành ,full inox y hình giấy toè cavet zin theo xe ,k9c bao tranh chấp tại nhà",Honda,Air Blade,2009,80000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123739646.htm
3811,Lead 110 Fi - 2012,8.500.000 đ,7.87 tr,9.24 tr,"Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","Cần bán xe Lead 110 Fi, 1 chủ từ đầu, đk 11/2012. 
Xe đi làm hàng ngày gần nhà, mới bảo dưỡng hãng, mọi chức năng hoạt động tốt, Xe đang dán keo. Xem xe đường Quang Trung GV, giờ hành chánh.",Honda,Lead,2012,55000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123792704.htm
3812,Bán Moto Kawasaki Bajaj Pulsar 200NS,9.900.000 đ,3.22 tr,3.78 tr,"Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","Do như cầu không sử dụng nên mình cần bán Bán Moto Kawasaki Bajaj Pulsar 200NS.
Xe vẫn sử dụng tốt. 
Do công việc đi nội thành nhiều nên không sủ dụng. 
Hiện tai mình để kho nên đã không chạy tầm 8 tháng .
Nay bình điện bị yếu . 

Kawasaki Bajaj Pulsar 200NS cũng là mẫu xe *** trong phân khúc trang bị hệ thống đánh lửa với 3 bugi nhằm tối ưu hiệu suất đốt, tăng công suất và giảm lượng tiêu thụ nhiên liệu. Theo công bố của nhà sản xuất, Pulsar 200NS tang tốc từ 0 lên 96 km/h chỉ trong 3,1 giây và tốc độ tối đa 135 km/h.",Kawasaki,Kawasaki,2007,70000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Ấn Độ,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123790409.htm
3813,Cần Bán ex 150 đời led chính chủ,23.000.000 đ,19.81 tr,23.26 tr,"Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh","-Ex 150 zin đời led 
-dàn áo mới thay nhựa nhám mới new
-dàn chân sạch sẽ 
-máy móc êm đầu lòng chưa rớt 
-mới làm nồi bốc",Yamaha,Exciter,2019,55000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123789807.htm
3814,Honda wave 100 màu xanh xe chính chủ số Tphcm,13.500.000 đ,7.21 tr,8.46 tr,"Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","Honda wave A 100 màu xanh,sơn zin mới đẹp,máy êm zin nguyên thủy chưa sửa chữa(đầu-nồi chưa mở)bình kèn đề sinhan đang hoạt động tốt,xe nhà sử dụng kỹ nên còn mới,số xe Tphcm ngay chủ bán,giá 13,5 triệu công chứng được cho người mua liền",Honda,Wave,2007,25200,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123558994.htm
3815,bán xe sh 350i nhập Thái đi 3000km,120.000.000 đ,75.95 tr,89.16 tr,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","Bán xe sh 350i mới đi 3k km siêu lướt
Sang tên chính chủ tại gò vấp
120tr TL",Honda,SH,2024,3000,Đã sử dụng,Tay ga,Trên 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123566946.htm
3816,"exciter 2017 nhà đi dư bán,xe cứng máy êm",16.000.000 đ,15.73 tr,18.46 tr,"Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh","Xe nhà đang sử dụng, mua cho nhân viên đi làm mà nay cắt bớt nhân viên nên bán rẻ lại
Xe mua trong cầm đồ giấy tờ cà vẹt hợp lệ , bao tranh chấp , 
Điện đề chức năng mọi thứ oke hết , 
Máy móc chạy khoẻ , êm ru",Yamaha,Exciter,2017,45,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123784657.htm
3817,click 2014 bs 60 đang đứng uỷ quyền lần 1,28.500.000 đ,27.71 tr,32.53 tr,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","Click 
Clcik 
Click đỏ 2014 máy zin 
Bs 60 đang đứng uỷ quyền lần 1 

Dòng này máy siêu êm

28.500.000d

***",Honda,Click,2014,50000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123782096.htm
3818,Vespa đẹp Nhà đi kỹ. Biển số đẹp VIP,17.800.000 đ,9.74 tr,11.44 tr,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh","Vespa 125 3Vie Chính chủ. Biển số đẹp, ra công chứng uỷ quyền hay Hợp đồng mua bán sang tên nhanh.
Xe đang dùng, ít đi. Trùm mền là chính.
2 Chìa khoá zin theo xe. Bảo hành Topcom chính hãng.
Tất cả đều mới, đi dáng khá đẹp.
Mua bán xe tại nhà.
Xe đẹp, giá hợp lý. Xe dùng xin miễn tiếp cò, lái.",Piaggio,Vespa,2013,6206,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/122038429.htm
3819,Bán xe honda future 125 fi,12.000.000 đ,11.78 tr,13.83 tr,"Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh","Cần bán xe Future 125 fi 
Xe không chính chủ, bao tranh chấp
Máy còn bốc, chạy nhẹ, đã lên sạc, đèn led
Xe còn thương lượng nhẹ
Xem xe trực tiếp tại nhà",Honda,Future,2012,70000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123781193.htm
3820,"Cani baán xe ,tay ga AB",9.500.000 đ,9.06 tr,10.64 tr,"Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh","Xe nhìn còn liền lạc máy êm , xe mau đỏ , bac,",Honda,Air Blade,2012,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123779824.htm
3821,Honda Air blade 2020,26.000.000 đ,29.9 tr,35.1 tr,"Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh","Honda Air blade 2020 đã qua sử dụng chưa sửa máy , không gây tai nạn do nhu cầu bán đi mua xe mới nên để lại cho ae có nhu cầu",Honda,Air Blade,2020,101200,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123778596.htm
3822,Cần bán nouvo 5 rc 2012 chính chủ,8.000.000 đ,5.04 tr,5.92 tr,"Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh","Nhà chật cần ra đi nouvo 5 rc đk2012
Xe chạy còn mạnh tốt máy êm đề nổ, mua về chỉ việc đổ xăng chạy, xe chính chủ bao công chứng uỷ quyền cho ae.",Yamaha,Nouvo,2012,80000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123777389.htm
3823,"dư dùng cần bán xe như hình, xe chính chủ",11.500.000 đ,11.54 tr,13.55 tr,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","Dư dùng cần bán xe như hình, xe chính chut",Honda,Blade,2010,714882,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123777081.htm
3824,Xe airblade 2028,6.900.000 đ,7.57 tr,8.89 tr,"Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","- Xe đăng ký biển Hà Nội năm 2008
- Chạy hơn 86 vạn km
- Xe không sử dụng từ sau dịch 2022
- Để dưới hầm xe chung cư phát sinh phí gửi nên có nhiêu cầu thanh lý 
- Xe ở quận Gò vấp. 
- Thuận tiện cho người mới lên thành phố cần xe đi làm, các bà, chị đi chợ, đi học mà không phải bỏ ra số tiền lớn để mua xe mới
Có phủ lớp keo trống trầy nên khi bóc đi sơn như mới
- 👉☎️9️⃣7️⃣8️⃣6️⃣2️⃣4️⃣9️⃣9️⃣8️⃣",Honda,Air Blade,2008,86000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123774644.htm
3825,nouvo 4,4.200.000 đ,4.04 tr,4.74 tr,"Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",Cần ra đi nouvo 4 chinh chủ xe nhu hinh bao thầy thợ do nhà chật nen bán u tien nguoi thiên chí bao cho ae tes zing tung con óc ạ..,Yamaha,Nouvo,2010,75000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123772191.htm
3826,- Piaggio Vespa Sprint 2015 Up Full iget 2021 !,34.800.000 đ,22.2 tr,26.06 tr,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","- Piaggio Vespa Sprint 2015 Up Full iget 2021 ! 
- BSTP Chính Chủ Công Chứng Sang Tên !
- Máy Móc Zin ! Êm Ru ! 
- Đồ Chơi .. Choá Led 2 Tầng iget , Hậu iget ,Cùm Mạ Crom , Baga , Nút mở yên iget ..Full Ốc Salaya ..
- Giá 34 triệu 800 hà 
- LH ***",Piaggio,Vespa,2015,1,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123771352.htm
3827,Exl 135 xe zin giá ve chai tiếp nhanh gọn,11.000.000 đ,15.94 tr,18.72 tr,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",Xe giấy. Tờ hơp lê mua cửa hàng a e nao mua ra đó no sáng tên cho.luon exl 135_ nam 2011 giá ve chai nha 11trieu tiêp a em.nhanh gọn nha fix nhe cho a e tiền xang mau lẹ còn kì kèo té nhẹ dùm coi xe ỏ go vâp phạm văn chiêu go vâp,Yamaha,Exciter,2011,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123771005.htm
3828,"Xe đẹp, còn zin",6.000.000 đ,5.75 tr,6.75 tr,"Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh","Xe đẹp, máy êm, còn zin từ A ĐẾN Z 
Có cccd của chủ xe 
 LH ***",Yamaha,Mio,2007,100000,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123770536.htm
3829,Cần việc bán gấp Ex 150 2019,15.000.000 đ,19.81 tr,23.26 tr,"Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh","Xe zin nguyên bản từ khi mua
Công chứng uỷ quyền",Yamaha,Exciter,2019,80000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123768895.htm
3830,Chính chủ bán xe winner X,20.000.000 đ,17.63 tr,20.69 tr,"Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","Chính chủ cần bán xe Honda Winner X V2 150 2021 ABS bản đỏ/đen zin nguyên bản mới 80% giá rẻ 
- Máy móc zin êm nguyên bản, odo 3 vạn, thay nhớt định kỳ 3000km/lần.
- Biển xe TPHCM 1 chủ, giấy tờ sang tên nhanh gọn.
- Giá bán: 20.000.000vnđ
- Call/zalo: ***",Honda,Winner X,2021,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123768571.htm
3831,Tay ga - xăng-.50cc-vàng-kiểu vespa-học sinh,9.000.000 đ,11.15 tr,13.1 tr,"Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","Xe mua mới năm 2023 tại Thế Giới Xe Điện , dưới 50cc cho con học phổ thông, giờ con lên đại học cần bán lại, lúc mua 24 triệu mới 100%. Về đã thay 1 số phụ tùng hiệu Honda để xe tốt hơn. Xe màu vàng, kiểu dáng như Vespa.",Halim,Dòng khác,2023,10194,Đã sử dụng,Tay ga,Dưới 50 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123764011.htm
3832,Vision nữ đi trùm mền,13.200.000 đ,10.9 tr,12.8 tr,"Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh","Nhà bán chiếc xe vision màu đỏ giống như trong hình ,xe trước mua cho con gái đi nhưng nay bé đã đi du học rồi ,không sử dụng tới ,nên muốn bán lại cho ai có nhu cầu,xe còn đẹp như mới zin chưa sửa chữa gì lchưa mở máy 
Xe bán tại nhà 
Không tiếp cò lái nha",Honda,Vision,2013,15000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/110878640.htm
3833,cần bán xe janus 2018 bao tranh chấp,12.800.000 đ,13.84 tr,16.25 tr,"Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","Máy móc êm ru 
Xe k bể vỡ đi êm",Yamaha,Janus,2018,123456,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123761163.htm
3834,SH Ý,180.000.000 đ,95.08 tr,111.62 tr,"Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",Xe chạy bình thường do không còn nhu cầu nữa cần bán lại cho những anh chị em nào cần ạ,Honda,SH,2010,5464,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123760011.htm
3835,Lead 4val date cao full option tâm huyêt leng keng,59.500.000 đ,38.7 tr,45.44 tr,"Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh","Lead

Áo trà sữa
Chân chống nhôm MF
Nắp xăng Daytona xịn chế cho lead
Càng nhôm Nakhom
Ốc áo, lốc nồi, pô e , khâu ốp pô Nakhom
Khâu sàn, khâu cảng CTS
Nắp cốp trước, nắp xăng cacbon
Vỏ Pireli
Tay thắng 128
Ohlins 328 còn bảo hành đến 2026
Kit phuộc trước yss
Heo MFz moto 3
Dây dầu, ngắt 128
Đĩa 128
Khâu inox bánh trước 128
Cốt bánh trước nakhom
Nắp lọc nhớt cnc 128
Ốc hạ phuộc 128
Van vòi mfz

Tình trạng xe keng như xe hảng, xe đăng kí 2024",Honda,Lead,2024,7000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123759994.htm
3836,BÁN XE NHƯ HÌNH CHÍNH CHỦ BÁN.XE NHÀ ĐI LÀM,38.000.000 đ,13.65 tr,16.02 tr,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","XE BÁN.DO KO CẦN SỬ DỤNG NÊN BÁN CHIÉC AB.

TÔI CHỈ ĐI LÀM NÊN XE VẪN CÒN RẤT TỐT

TIÉP KHÁCH THIỆN CHÍ 

GIÁ 38 TRIỆU.CÓ BỚT CHÚT

Chủ xe ở q 12",Honda,Blade,2021,37,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123755853.htm
3837,Rebel dáng cafe 125 úp 150,25.500.000 đ,,,"Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh","Xe mới mua 1 tháng , còn keng ít chạy!!!
Giấy tờ đầy đủ 
Xe chưa vết trầy
Ae qt zalo: ***!",RebelUSA,Dòng khác,2008,50,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123751482.htm
3838,Wave alpha 100,14.600.000 đ,9.95 tr,11.68 tr,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh","Em cần bán xe nhà đang sử dug
Giấy tờ sang tên hợp lệ,,bs hcm
Máy móc êm,khỏe
Đồ xe còn nhìu
Ốc táng,nước sơn theo xe,năm tháng
Coi xe trực tiếp ngay nhà cả 2 yên tâm",Honda,Wave,2002,36000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123748347.htm
3839,furneo,24.800.000 đ,21.86 tr,25.66 tr,"Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh","Furneo 207 bstp 9 chủ uq sang tên đều dc
Xe sơn xi mới cục máy rớt làm zin êm ru bao a e tes 
Xe lợi xăng keng về ae đổ xăng chạy
Wave s 209 bstp 9c khó khí e bán giao bộ hồ sơ cccd đủ
Máy siêu êm lợi xăng về cày bừa vô tư
MUA BÁN TRAO ĐỔI XE CŨ",Honda,Future,2007,380000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123745094.htm
3840,Bán xe như hình,16.800.000 đ,15.97 tr,18.75 tr,"Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh","Bán AB 2015 xe zin chính chủ chạy kỹ 
Xem xe tại nhà ae thiện chí mua chạy ok",Honda,Air Blade,2015,60000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123743809.htm
