id,title,description,Dòng xe,description_cleaned,title_cleaned,content
3535,Thanh lí xe SH VN đời 2016 bs 67G1-359.80,"Cầm đồ thanh lí :
Xe SH Việt Nam đki 2016
150cc , bs 67G1-359.80
Xe màu đỏ đô
Xe có cavet gốc và cccd chủ xe, mua bán bên mình bao tranh chấp
Giá 32tr500
Xem xe tại 137 ngô tất tố p22 quận bình thạnh",SH,cầm_đồ thanh_lí sh việt_nam đăng_ký 2016 150cc bs 67g1 359.80 màu đỏ_đô cavet gốc cccd chủ mua_bán bao tranh_chấp giá 32tr500 137 ngô tất tố p22 bình_thạnh,thanh_lí sh việt nam đời 2016 bs 67g1 359.80,cầm_đồ thanh_lí sh việt_nam đăng_ký 2016 150cc bs 67g1 359.80 màu đỏ_đô cavet gốc cccd chủ mua_bán bao tranh_chấp giá 32tr500 137 ngô tất tố p22 bình_thạnh thanh_lí sh việt nam đời 2016 bs 67g1 359.80
3536,Thanh Lý xe giá rẻ,"ngoại hình liền lạc, giấy tờ đầy đủ, bình yếu không đề được",Dòng khác,ngoại_hình liền lạc giấy_tờ đầy_đủ bình yếu không đề,thanh_lý giá rẻ,ngoại_hình liền lạc giấy_tờ đầy_đủ bình yếu không đề thanh_lý giá rẻ
3537,"SH150ABS,07/2019,odo 256000km, biển SG, ngay chủ","Bán xe SH150ABS, 07/2019, odo 25.6000km ( bao không quay tua), cặp bánh theo xe. Xe đẹp, hiếm không đâm đụng ngập nước, máy móc tất nhiên là nguyên zin êm ái đúng chất xe ít đi. Xe chính chủ, ngay chủ ký bán.
Giá 76.000.000 đồng. Bao công chứng, hỗ trợ rút gốc.
Liên hệ: 187/14 Hoàng Hoa Thám, phiowngf 6, quận bình thạnh để xem xe tại nhà. Cảm ơn ACE đã xem tin.",SH,sh150abs 07 2019 odo 25.6000 km bao không tua cặp bánh đẹp hiếm không đâm đụng ngập máy_móc tất_nhiên nguyên zin êm_ái chất đi chủ chủ ký giá 76.000.000 đồng bao công_chứng rút gốc liên_hệ 187 14 hoàng hoa thám phiowngf bình_thạnh anh_chị_em,sh150abs 07 2019 odo 256000km biển chủ,sh150abs 07 2019 odo 25.6000 km bao không tua cặp bánh đẹp hiếm không đâm đụng ngập máy_móc tất_nhiên nguyên zin êm_ái chất đi chủ chủ ký giá 76.000.000 đồng bao công_chứng rút gốc liên_hệ 187 14 hoàng hoa thám phiowngf bình_thạnh anh_chị_em sh150abs 07 2019 odo 256000km biển chủ
3538,Mình chů xe cân bán xe chính chù,"Mình bán xe chính chů xe zin 
- đô đèn theo xe vân còn xe đi kï
- bán cho nguoi cân dùng 
- không qua cò lái 
- xe tąi nhà bình thąnh
- giá : 25 tr bơt tí lôc nguoi cân dùng
- LH : *** XEM XE 
BIÊN SÔ 78 THÂN TÀI",Exciter,chů xe_zin đô đèn vân đi kï cân không cò lái tąi bình_thąnh giá 25 tr bơt tí lôc cân lh biên sô 78 thân tài,chů cân chù,chů xe_zin đô đèn vân đi kï cân không cò lái tąi bình_thąnh giá 25 tr bơt tí lôc cân lh biên sô 78 thân tài chů cân chù
3539,Thanh lí xe Janus 2017 màu đen,"Cầm đồ thanh lí xe janus màu đen
Có cavet gốc , mua bán có giấy bao tranh chấp
Hiên trạng xe có trầy xước theo thời gian
Máy móc vẫn êm không có vấn đề gì
Giá 10tr500k
Xem xe tại 137 ngô tất tố p22 quận bình thạnh",Janus,cầm_đồ thanh_lí janus màu đen cavet gốc mua_bán giấy bao tranh_chấp hiên trạng trầy_xước máy_móc êm không giá 10tr500k 137 ngô tất tố p22 bình_thạnh,thanh_lí janus 2017 màu đen,cầm_đồ thanh_lí janus màu đen cavet gốc mua_bán giấy bao tranh_chấp hiên trạng trầy_xước máy_móc êm không giá 10tr500k 137 ngô tất tố p22 bình_thạnh thanh_lí janus 2017 màu đen
3540,Wave thái 125 bstp 9 chủ,"Wave i125 thailand bstp chính chủ kí mua bán công chứng 1 nốt nhạc
Máy móc nguyên zin đầu nồi chưa rớt
Dàn áo sơn lại màu xanh ngọc bích như trong cavet ( xanh đen )
Ổ khóa smk
Giá e đã hạ xuống rồi và có bớt thêm cho ae nào thiện chí muốn mua",Wave,wave i125 thailand bstp chủ kí mua_bán_công_chứng nốt_nhạc máy_móc nguyên zin đầu nồi rớt dàn áo sơn màu xanh ngọc_bích cavet xanh đen khóa smk giá hạ bớt anh_em thiện_chí mua,wave thái 125 bstp chủ,wave i125 thailand bstp chủ kí mua_bán_công_chứng nốt_nhạc máy_móc nguyên zin đầu nồi rớt dàn áo sơn màu xanh ngọc_bích cavet xanh đen khóa smk giá hạ bớt anh_em thiện_chí mua wave thái 125 bstp chủ
3541,Xe Chính Chủ Công Chứng sang Tên .,"Cần Bán Xe HonDa Lead Fi 110c .
Màu Đỏ Đẹp . Xe Chính Chủ .
Biển Số Thành Phố . Số Đẹp 9 Nút .
Máy Chạy Mạnh . Êm .
Dàn Áo Củ Theo Năm Tháng.
Nữ Sử Dụng Chạy Kỹ .
Xe Gia Đình Bảo Dưỡng Kỹ.
Công Chứng Sang Tên Nhanh.
Xem Xe Quận Bình Thạnh .
*** .",Lead,honda lead fi 110c màu đỏ đẹp chủ biển thành_phố đẹp nút máy chạy êm dàn áo củ nữ chạy kỹ gia_đình bảo_dưỡng kỹ công_chứng sang_tên bình_thạnh,chủ_công_chứng sang_tên,honda lead fi 110c màu đỏ đẹp chủ biển thành_phố đẹp nút máy chạy êm dàn áo củ nữ chạy kỹ gia_đình bảo_dưỡng kỹ công_chứng sang_tên bình_thạnh chủ_công_chứng sang_tên
3542,Xe wave,"Xe còn cứng cáp 
Xe Bị trầy nhẹ vày chổ",Wave,cứng_cáp trầy nhẹ vày chổ,wave,cứng_cáp trầy nhẹ vày chổ wave
3543,Wave a up repsol,"🍀 Wave A BSTP dọn full new from Repsol 🍀
❄️ 14 200 000
❌ HỖ TRỢ GIAO XE TOÀN QUỐC ❌ 

Nội công :
💧 Nguyên cục máy zin cực nhẹ tê tái
Ngoại công : 
💧 Full áo Wave Repsol thùng TPĐ đập hộp
💧 Full bộ dĩa Rs luôn tay heo dây theo xe dĩa Like NEW
💧 Cặp bánh zin theo xe , pha trước sau si nhan cam👌🏻
💧 Combo hoàng kim theo xe bô gc wave S❤️
💧 Phuộc sau gia công có bảo hành - baga 10 ly loại dày 😆

👉 Nói chung xe dọn đa số thay đồ mới nhiều ae nhìn hình đánh giá ạ ở ngoài còn keng hơn hâhha 🤪
Ra đi em wave dễ thương : 14 200 000",Wave,wave bstp dọn full new from repsol 14 200 000 giao toàn_quốc nội_công nguyên cục máy zin cực nhẹ tê_tái ngoại_công full wave repsol thùng tpđ đập_hộp full dĩ rs heo dây dĩa like new cặp bánh zin pha si nhan cam thích combo hoà kim bô gc wave yêu_️ phuộ gia_công bảo_hành baga 10 ly dày cười dọn đa_số thay đồ anh_em hình keng hâhha đi wave thươ 14 200 000,wave up repsol,wave bstp dọn full new from repsol 14 200 000 giao toàn_quốc nội_công nguyên cục máy zin cực nhẹ tê_tái ngoại_công full wave repsol thùng tpđ đập_hộp full dĩ rs heo dây dĩa like new cặp bánh zin pha si nhan cam thích combo hoà kim bô gc wave yêu_️ phuộ gia_công bảo_hành baga 10 ly dày cười dọn đa_số thay đồ anh_em hình keng hâhha đi wave thươ 14 200 000 wave up repsol
3544,MSX 125 2017 ZIN,"Nhà dư dùng cần bán 1 xe máy mô tô con msx 125 xe nhập thái lan đã đi được 30.000 km , xe chính chủ ký giấy mua bán , ưu tiên nhanh gọn có bớt cho người thiện chí mua",MSX 125,dư xe_máy mô_tô msx 125 xe_nhập thái lan đi 30.000 km chủ ký giấy mua_bán ưu_tiên gọn bớt thiện_chí mua,msx 125 2017 zin,dư xe_máy mô_tô msx 125 xe_nhập thái lan đi 30.000 km chủ ký giấy mua_bán ưu_tiên gọn bớt thiện_chí mua msx 125 2017 zin
3545,Thanh lý xe VISON,"Do có nhu cầu đổi xe nên cần thanh lý
Xe đi trong nội thành phố, chính chủ, biển số 60
Giảm giá cho bạn nào có thiện chí mua nhé
LH ***",Vision,nhu_cầu đổi thanh_lý đi nội_thành_phố chủ biển 60 giảm_giá thiện_chí mua lh,thanh_lý vison,nhu_cầu đổi thanh_lý đi nội_thành_phố chủ biển 60 giảm_giá thiện_chí mua lh thanh_lý vison
3546,Vario 150cc 2017 bstp 9c,"Cần bán xe varrio như hình odo 35k km
Xe chạy kỹ có fix cho ae thiện chí 
Biển số tp 9 chủ
Moi chi tiết xin call trực tiếp số trong hình",Vario,varrio hình odo 35k km chạy kỹ fix anh_em thiện_chí biển tp chủ moi chi_tiết call hình,vario 150cc 2017 bstp 9c,varrio hình odo 35k km chạy kỹ fix anh_em thiện_chí biển tp chủ moi chi_tiết call hình vario 150cc 2017 bstp 9c
3547,xe xinh đáng iu,🛵 Giao em Crea 50cc Nội Địa Nhật ( là xe sản xuất riêng cho người Nhật dùng ),Dòng khác,giao crea 50cc nội_địa nhật sản_xuất nhật,xinh yêu,giao crea 50cc nội_địa nhật sản_xuất nhật xinh yêu
3548,Bán dio zx 3 xe cổ xe máy móc nguyê rin . Nổ êm ru,"Bán dio zx 3 xe cổ xe máy móc nguyên rin . Nổ êm ru
Mua về là đi .. bao anh em thợ thầy tét vô . Con nít 6 . 7 . 8 9 .tuổi chại tốt .. và ngươi lớn 80 ký chại vô tư
Xe ....4tr 500 là xe classico nha 
Xe cào cào yamaha 26tr 

Xe SUZUKI EPO 50cc vô giấy
 rồi .. ai khong biêt thi mạng sệt SUZUKI EPO .là có liền 
Cần người thiện trí 
Ai cần alo mình.. LH ***",Monkey,dio zx cổ xe_máy_móc nguyên rin nổ êm_ru mua đi bao anh_em thợ thầy tét vô con_nít chại tốt 80 ký chại vô_tư ... 4tr 500 classico_nha cào_cào yamaha 26tr suzuki epo 50cc vô_giấy khong thi mạng sệt suzuki epo liền thiện_trí alo lh,dio zx cổ xe_máy_móc nguyê rin nổ êm_ru,dio zx cổ xe_máy_móc nguyên rin nổ êm_ru mua đi bao anh_em thợ thầy tét vô con_nít chại tốt 80 ký chại vô_tư ... 4tr 500 classico_nha cào_cào yamaha 26tr suzuki epo 50cc vô_giấy khong thi mạng sệt suzuki epo liền thiện_trí alo lh dio zx cổ xe_máy_móc nguyê rin nổ êm_ru
3549,CUB 81,"Cub 81 đời cuối
Chưa rớt đầu
Đạp nhẹ là nổ
Giấy tờ đầy đủ bao sang tên",Cub,cub 81 đời rớt đầu đạp nhẹ nổ giấy_tờ đầy_đủ bao sang_tên,cub 81,cub 81 đời rớt đầu đạp nhẹ nổ giấy_tờ đầy_đủ bao sang_tên cub 81
3550,xe máy êm chạy rất ngon,"xe máy êm chạy khong nghe 
một tiến đọng nào rất tiến kiệm xăng hệ thống điện đầy đủ máy còn rin kiểu dáng thoan gọn đẹp
xe giấy tờ đày đủ",Enjoy,xe_máy êm chạy khong tiến đọng tiến kiệm xăng hệ_thống điện đầy_đủ máy rin kiểu_dáng thoan gọn đẹp giấy_tờ đày,xe_máy êm chạy ngon,xe_máy êm chạy khong tiến đọng tiến kiệm xăng hệ_thống điện đầy_đủ máy rin kiểu_dáng thoan gọn đẹp giấy_tờ đày xe_máy êm chạy ngon
3551,spacy 2000 cần bán,"Do vợ ko thích đi nữa nên nay mình cho em nó ra đi
Xe đẹp long lanh full keo dàn bóng nhám . Anh chị em nào có nhu cầu xin liên hệ xem xe trực tiếp quận bình thanh",Spacy,vợ không thích đi_nữa đi đẹp long_lanh full keo dàn bóng nhám anh_chị_em nhu_cầu_xin liên_hệ bình_thanh,spacy 2000,vợ không thích đi_nữa đi đẹp long_lanh full keo dàn bóng nhám anh_chị_em nhu_cầu_xin liên_hệ bình_thanh spacy 2000
3552,Shvn 150 abs 2020 + màu xám sporty + odo 8000km,"Cần bán xe SHVN 150 abs đời 2020 màu xám đen sporty.Xe nhà đi kỹ odo 8000km.dàn áo keo full xe đep leng keng xe lướt.Máy móc êm zin , ga vọt mạnh, máy bao test, thay nhớt hàng tháng đều đặn
Xe chính chủ sang tên ngay,xe hiện nằm trong tiệm cầm đồ.Ae có nhu cầu xem xe thì sẽ dẫn lại kho tiệm cầm đồ xem xe rồi chốt
Giá bán 82 triệu.Xe bản số tphcm
Liên hệ ngay chủ xe ***",Dòng khác,shvn 150 abs đời 2020 màu xám đen sporty đi kỹ odo 8000km dàn áo keo full đep leng_keng lướt máy_móc êm zin ga vọt máy bao test thay nhớt hàng đều_đặn chủ sang_tên hiện nằm tiệm cầm_đồ anh_em nhu_cầu kho tiệm cầm_đồ chốt giá 82 triệu thành_phố hồ chí_minh liên_hệ chủ,shvn 150 abs 2020 màu xám sporty odo 8000km,shvn 150 abs đời 2020 màu xám đen sporty đi kỹ odo 8000km dàn áo keo full đep leng_keng lướt máy_móc êm zin ga vọt máy bao test thay nhớt hàng đều_đặn chủ sang_tên hiện nằm tiệm cầm_đồ anh_em nhu_cầu kho tiệm cầm_đồ chốt giá 82 triệu thành_phố hồ chí_minh liên_hệ chủ shvn 150 abs 2020 màu xám sporty odo 8000km
3553,Vario 125 đời 2020,"Vario đời 2020 chính chủ bstp dễ nhìn 
Xe để lâu không đi nên cần bán gấp
Xe củ hiện tại bị ố đồng hồ
Xe sơn lại màu hồng nhạt
Máy móc nguyên zin chưa sữa chữa chỉ sơn dàn áo thôi 
Xem xe ở bình thạnh gần bến xe miền đông",Vario,vario đời 2020 chủ bstp không đi gấp củ đồng_hồ sơn màu hồng_nhạt máy_móc nguyên zin sữa chữa sơn dàn áo bình thạnh bến_xe miền đông,vario 125 đời 2020,vario đời 2020 chủ bstp không đi gấp củ đồng_hồ sơn màu hồng_nhạt máy_móc nguyên zin sữa chữa sơn dàn áo bình thạnh bến_xe miền đông vario 125 đời 2020
3554,XE WAVE 2018 15k km,"Do 1 số trục trặc ra biển , đã có giấy chứng nhận thu hồi xe , nên cần bán cho ai cần
Xe mới đã đi dc 15000 km",Wave,trục_trặc biển giấy chứng_nhận thu_hồi đi 15000 km,wave 2018 15k km,trục_trặc biển giấy chứng_nhận thu_hồi đi 15000 km wave 2018 15k km
3555,Bán xe City thùng hai bánh,"Xe City máy Honda
Xe thùng đời 1995
Màu đen còn mới 85%",Dòng khác,city máy_honda thùng đời 1995 màu đen 85,city thùng hai bánh,city máy_honda thùng đời 1995 màu đen 85 city thùng hai bánh
3556,XE MỚI HOÀN TOÀN 98%,"XE Nhà Nữ It Đi 
Biển số Tphcm 
Bình Thạnh 
Chính Chủ 
Ủy Quyền",SH Mode,nữ it đi biển thành_phố hồ chí_minh bình_thạnh chủ ủy_quyền,98,nữ it đi biển thành_phố hồ chí_minh bình_thạnh chủ ủy_quyền 98
3557,Winner X 2019 chính chủ,"Nhà cần bán Winner X 2019 chính chủ , xe zin a-z , máy móc im , bảo dưỡng nhớt nhao định kỳ. Bớt lộc cho anh em thiện chí mua bán tại nhà",Winner X,winner 2019 chủ zin máy_móc im bảo_dưỡng nhớt nhao định_kỳ bớt lộc anh_em thiện_chí mua_bán,winner 2019 chủ,winner 2019 chủ zin máy_móc im bảo_dưỡng nhớt nhao định_kỳ bớt lộc anh_em thiện_chí mua_bán winner 2019 chủ
3558,bán xe,"xe hoạt động bình thường
giấy đi đường
đi làm hoạt cày bừa
 trường tiểu học tầm vu
phường26 bình thạnh",Elizabeth,hoạt_động bình_thường giấy đi đường đi hoạt cày bừa trường tiểu_học tầm_vu phường26 bình_thạnh,,hoạt_động bình_thường giấy đi đường đi hoạt cày bừa trường tiểu_học tầm_vu phường26 bình_thạnh 
3559,BÁN XE GẤP,"Mua chính hãng tại Honda Phát Tiến
Giấy tờ chính chủ
Giao dịch nhanh gọn
Còn thẻ bảo hành tại hãng",Vision,mua hãng honda phát_tiến giấy_tờ chủ giao_dịch gọn thẻ bảo_hành hãng,gấp,mua hãng honda phát_tiến giấy_tờ chủ giao_dịch gọn thẻ bảo_hành hãng gấp
3560,Ae mua về chạy còn ngon,Xe chạy còn ngon ae mua lh mình nhé thiện chí mua lh mình,Cub,chạy ngon anh_em mua lh thiện_chí mua lh,anh_em mua chạy ngon,chạy ngon anh_em mua lh thiện_chí mua lh anh_em mua chạy ngon
3561,Attila Victoria chân bấm 2010 chạy tốt,"Attila Victoria chân bấm đk 2010 chạy êm, 2 lốp còn tốt, 2 chìa kính đầy đủ, mới thay nhớt, mua xe mới nên cần bán 
Xem xe tại 234 Ngô Tất tố, Bình Thạnh
Cảm ơn mọi người.",Attila,attila victoria chân bấm đk 2010 chạy êm lốp tốt chìa kính đầy_đủ thay nhớt mua cần_bán 234 ngô tất_tố bình_thạnh,attila victoria chân bấm 2010 chạy tốt,attila victoria chân bấm đk 2010 chạy êm lốp tốt chìa kính đầy_đủ thay nhớt mua cần_bán 234 ngô tất_tố bình_thạnh attila victoria chân bấm 2010 chạy tốt
3562,Nozza fi máy zin êm,"Bán nozza fi máy zin êm, dàn áo còn khá đẹp các chức năng hoạt động tốt bst .ace quan tâm lh ai cần mua gọi dùm",Nozza,nozza fi máy zin êm dàn áo đẹp chức_năng hoạt_động tốt bst anh_chị_em lh mua dùm,nozza fi máy zin êm,nozza fi máy zin êm dàn áo đẹp chức_năng hoạt_động tốt bst anh_chị_em lh mua dùm nozza fi máy zin êm
3563,Utimo máy zin êm bstp,"Bán utimo máy êm mạnh, dàn áo còn khá đẹp, các chức năng hoạt động tốt bstp. Ace có nhu cầu sử dụng liên hệ",Mio,utimo máy êm dàn áo đẹp chức_năng hoạt_động tốt bstp anh_chị_em nhu_cầu liên_hệ,utimo máy zin êm bstp,utimo máy êm dàn áo đẹp chức_năng hoạt_động tốt bstp anh_chị_em nhu_cầu liên_hệ utimo máy zin êm bstp
3564,Nouvo 5 giao lưu axelo jupiter sirius,"Nouvo 5 máy êm ru giao lưu siriu ,axelo jupiter ai giao lưu ib mình",Nouvo,nouvo máy êm_ru giao_lưu siriu axelo jupiter giao_lưu inbox,nouvo giao_lưu axelo jupiter sirius,nouvo máy êm_ru giao_lưu siriu axelo jupiter giao_lưu inbox nouvo giao_lưu axelo jupiter sirius
3565,Cần Bán xe Dream còn Đẹp 1 Chủ từ Đầu,"Cần bán con HONDA Dream chín chủ mua mới từ đầu đời 1996 xe của bà chị để Để chật nhà xe của hai vợ chồng mua từ thuở ấy hôm nay lớn tuổi không đi nữa nên chia sẽ lại đam mê cho những người cần , xe liền lạc , đồ zin củng còn nhiều , a e coi hình thấy hộp nhản hay đam mê mua về sửa sang lại theo ý mình , ký ủy quyền hay sang tên điều được ạ .coi xe tại nhà . Cám ơn a e coi tin . ￼",Dream,honda dream chín chủ mua đầu đời 1996 chật nhà_xe hai vợ_chồng mua thuở hôm_nay lớn_tuổi không đi_nữa chia đam_mê liền lạc đồ zin củng anh_em coi hình hộp nhản đam_mê mua sửa_sang ký_ủy quyền sang_tên coi cám_ơn anh_em coi,dream đẹp chủ đầu,honda dream chín chủ mua đầu đời 1996 chật nhà_xe hai vợ_chồng mua thuở hôm_nay lớn_tuổi không đi_nữa chia đam_mê liền lạc đồ zin củng anh_em coi hình hộp nhản đam_mê mua sửa_sang ký_ủy quyền sang_tên coi cám_ơn anh_em coi dream đẹp chủ đầu
3566,Sh việt 125i - 2016,"Mình cần bán sh 125i - 2016 . chính chủ bán , xe ít đi biển số sài gòn , chủ yếu để ở nhà . đã lên áo và mâm ý . đã lên khoá Mickey . dàn áo có trầy theo thời gian , còn máy móc nguyên zin chưa sữa chữa bao chạy êm ru . các chức năng full đầy đủ , về chỉ việc đổ xăng chạy . tình trạng sao nói vậy cho ae đỡ mất thời gian . bao công chứng cho ae nhé , thank đã xem tin",SH,sh 125i 2016 chủ đi biển chủ_yếu áo mâm khoá mickey dàn áo trầy máy_móc nguyên zin sữa chữa bao chạy êm_ru chức_năng full đầy_đủ đổ xăng chạy anh_em đỡ bao công_chứng anh_em thank,sh việt 125i 2016,sh 125i 2016 chủ đi biển chủ_yếu áo mâm khoá mickey dàn áo trầy máy_móc nguyên zin sữa chữa bao chạy êm_ru chức_năng full đầy_đủ đổ xăng chạy anh_em đỡ bao công_chứng anh_em thank sh việt 125i 2016
3567,SYM Wolf 125cc chính chủ,"Ăn Tết sớm em cần bán SYM Wolf 125cc 
Đã dọn thẳng thớm, style phông bạt à nhầm phong trần. Xe cũ nhưng đồ đầm chắc.
BXL CG đời 1970s, dán đen, tem tự thiết kế!
Cặp cốp sắt gò (zin là nhựa) pô thủ công bên a Sơn Nguyễn, tiếng trầm lực ko phải mỏ hỗn.
Máy zin chăm kĩ, bền lành ko tiếng động bậy bạ.
Tiết kiệm xăng, đi phượt Đà Lạt thoải mái.
Điện đề còi cùm passing đầy đủ. Một bên tai xi nhan đang hơi lỏng, ae về thay dễ theo ý thích.
giấy tờ chính chủ em đứng tên, kí uỷ quyền thoải mái.
Xe mình đi lại 5 năm nay, chỉ độ dáng, ko hỏng vặt nên rất tự tin bao test cho ae! Thay nhớt đổ xăng đều đặn là đi thong thả êm đềm.
Ae về thêm đồ chơi, sơn tút lại cho đẹp hoặc để vậy đi luôn vẫn đẹp!
Bình Thạnh - HCM
Cảm ơn admin và mn!",Wolf,tết sym wolf 125cc dọn thẳng_thớm style phông bạt nhầm phong_trần cũ đồ đầm bxl cg đời 1970s dán đen tem thiết_kế cặp cốp sắt gò zin nhựa pô thủ_công sơn nguyễn tiếng trầm lực không mỏ hỗn máy zin chăm kĩ bền lành không tiếng_động bậy_bạ tiết_kiệm xăng đi phượt đà_lạt thoải_mái điện đề còi cùm passing đầy_đủ tai xi_nhan hơi lỏng anh_em thay thích giấy_tờ chủ đứng_tên kí uỷ_quyền thoải_mái đi_lại độ dáng không hỏng vặt tự_tin bao test anh_em thay nhớt đổ xăng đều_đặn đi thong_thả êm_đềm anh_em đồ_chơi sơn tút đẹp đi đẹp bình_thạnh hcm admin,sym wolf 125cc chủ,tết sym wolf 125cc dọn thẳng_thớm style phông bạt nhầm phong_trần cũ đồ đầm bxl cg đời 1970s dán đen tem thiết_kế cặp cốp sắt gò zin nhựa pô thủ_công sơn nguyễn tiếng trầm lực không mỏ hỗn máy zin chăm kĩ bền lành không tiếng_động bậy_bạ tiết_kiệm xăng đi phượt đà_lạt thoải_mái điện đề còi cùm passing đầy_đủ tai xi_nhan hơi lỏng anh_em thay thích giấy_tờ chủ đứng_tên kí uỷ_quyền thoải_mái đi_lại độ dáng không hỏng vặt tự_tin bao test anh_em thay nhớt đổ xăng đều_đặn đi thong_thả êm_đềm anh_em đồ_chơi sơn tút đẹp đi đẹp bình_thạnh hcm admin sym wolf 125cc chủ
3568,Dylan lên SH 150i + smartkey bstp máy cực êm,"Không có nhu cầu sử dụng nên cần bán Dylan bstp đã lên full dàn áo SH, lên sẵn smartkey
Xe máy móc êm ru, khộnh lỗi lầm, dàn ngoài trầy xước nhẹ theo năm tháng.
Mua bán tại nhà, bao tranh chấp toàn quốc.
Giá: 16.800.000 (mong gặp người thiện chí)
Xem xe trực tiếp tại Bình Thạnh, HCM.
Cảm ơn mọi người đã đọc tin",Dylan,không nhu_cầu dylan bstp full dàn áo sh sẵn smartkey xe_máy_móc êm_ru khộnh lỗi_lầm dàn trầy_xước nhẹ mua_bán bao tranh_chấp toàn_quốc giá 16.800.000 mong thiện_chí bình_thạnh hcm đọc,dylan sh 150i smartkey bstp máy cực êm,không nhu_cầu dylan bstp full dàn áo sh sẵn smartkey xe_máy_móc êm_ru khộnh lỗi_lầm dàn trầy_xước nhẹ mua_bán bao tranh_chấp toàn_quốc giá 16.800.000 mong thiện_chí bình_thạnh hcm đọc dylan sh 150i smartkey bstp máy cực êm
3569,Xe máy cũ siêu lướt cần bán,Xe máy êm cực kỳ màu xanh đen còn mới mẻ zin nguyên con anh em mua hay trao đổi xe với nhau cũng được hãy gọi điện thoại đến cho chú ô kê cảm ơn các cháu,Wave,xe_máy êm cực_kỳ màu xanh đen mới_mẻ zin nguyên anh_em mua trao_đổi điện_thoại cháu,xe_máy cũ siêu lướt,xe_máy êm cực_kỳ màu xanh đen mới_mẻ zin nguyên anh_em mua trao_đổi điện_thoại cháu xe_máy cũ siêu lướt
3570,"🔴SH350i nhám bạc,59A3 45522 Odo:9k bao chuẩn check","Loại xe:sh350i( ae trả trước 60% giá trị xe lấy xe về chạy)
- Date : 2022 ( dk lần đầu 2023 1 chủ đúng máy Thái)
- Màu sắc : Bạc Nhám new lăn bánh máy Thái nay 160tr xxx ko có xe mua ae nhé .
- Odo : 9k ( bao chuẩn check hãng)
- Bs : # 59A3 45522
 - Cam kết Máy móc nguyên zin bao chưa đụng chạm bất cứ thứ gì .
- Bảo hành máy móc 6th, điện lửa sạc 3th , bình acquy 2th . 
- Hỗ trợ sang tên rút hồ sơ nếu quý khách có yêu cầu .
- Hỗ trợ trả góp trực tiếp cửa hàng hoặc qua Ngân Hàng
- Giá mình bán :122.800.000 vnd( nhận giao lưu xe khác )",SH,sh350i anh_em 60 chạy date 2022 dk đầu 2023 chủ máy thái màu_sắc bạc nhám new lăn bánh máy thái 160tr xxx không mua anh_em odo 9k bao chuẩn check hãng bs 59a3 45522 cam_kết máy_móc nguyên zin bao đụng_chạm bảo_hành máy_móc 6th điện lửa sạc 3th bình acquy 2th sang_tên rút hồ_sơ quý_khách trả_góp cửa_hàng ngân_hàng giá 122.800.000 vnd giao_lưu,sh350i nhám bạc 59a3 45522 odo 9k bao chuẩn check,sh350i anh_em 60 chạy date 2022 dk đầu 2023 chủ máy thái màu_sắc bạc nhám new lăn bánh máy thái 160tr xxx không mua anh_em odo 9k bao chuẩn check hãng bs 59a3 45522 cam_kết máy_móc nguyên zin bao đụng_chạm bảo_hành máy_móc 6th điện lửa sạc 3th bình acquy 2th sang_tên rút hồ_sơ quý_khách trả_góp cửa_hàng ngân_hàng giá 122.800.000 vnd giao_lưu sh350i nhám bạc 59a3 45522 odo 9k bao chuẩn check
3571,Em cần tiền nên bán xe ạ a chị em vui vẻ còn bớt,xe người nhà sử dụng không độ chế không bùa phép gì hết ạ,Mio,người_nhà không độ chế không bùa phép,tiền anh_chị_em vui_vẻ bớt,người_nhà không độ chế không bùa phép tiền anh_chị_em vui_vẻ bớt
3572,Cần bán xe Vespa Lx 125cc,"Cần bán xe Vespa Lx125cc mât giay giá 5t
Mọi chức năng hoạt động bình thường( kèn, đề, xi nhan hoạt động tốt) đi làm hay đi chơi đều được.
Xe chỉ về thay nhớt, đổ xăng chạy máy êm chạy êm như trên video
Ib để trả giá thiện chí fix nhiệt tình cho ai nhanh gọn lẹ
Cảm ơn chợ tốt duyệt tin!!!",Vespa,vespa lx125cc mât giay giá 5t chức_năng hoạt_động bình_thường kèn đề xi_nhan hoạt_động tốt đi đi thay nhớt đổ xăng chạy máy êm chạy êm video inbox trả_giá thiện_chí fix nhiệt_tình gọn lẹ chợ tốt duyệt,vespa lx 125cc,vespa lx125cc mât giay giá 5t chức_năng hoạt_động bình_thường kèn đề xi_nhan hoạt_động tốt đi đi thay nhớt đổ xăng chạy máy êm chạy êm video inbox trả_giá thiện_chí fix nhiệt_tình gọn lẹ chợ tốt duyệt vespa lx 125cc
